TIME,Calibrated,
06May2021 0900,3.127,
06May2021 0930,3.13,
06May2021 1000,3.133,
06May2021 1030,3.137,
06May2021 1100,3.141,
06May2021 1130,3.144,
06May2021 1200,3.147,
06May2021 1230,3.151,
06May2021 1300,3.154,
06May2021 1330,3.157,
06May2021 1400,3.16,
06May2021 1430,3.162,
06May2021 1500,3.165,
06May2021 1530,3.168,
06May2021 1600,3.17,
06May2021 1630,3.174,
06May2021 1700,3.177,
06May2021 1730,3.18,
06May2021 1800,3.183,
06May2021 1830,3.187,
06May2021 1900,3.19,
06May2021 1930,3.192,
06May2021 2000,3.195,
06May2021 2030,3.197,
06May2021 2100,3.199,
06May2021 2130,3.201,
06May2021 2200,3.202,
06May2021 2230,3.204,
06May2021 2300,3.206,
06May2021 2330,3.208,
06May2021 2400,3.211,
07May2021 0030,3.214,
07May2021 0100,3.216,
07May2021 0130,3.219,
07May2021 0200,3.222,
07May2021 0230,3.225,
07May2021 0300,3.228,
07May2021 0330,3.231,
07May2021 0400,3.234,
07May2021 0430,3.237,
07May2021 0500,3.24,
07May2021 0530,3.243,
07May2021 0600,3.246,
07May2021 0630,3.249,
07May2021 0700,3.252,
07May2021 0730,3.254,
07May2021 0800,3.257,
07May2021 0830,3.26,
07May2021 0900,3.262,
07May2021 0930,3.265,
07May2021 1000,3.267,
07May2021 1030,3.269,
07May2021 1100,3.271,
07May2021 1130,3.273,
07May2021 1200,3.275,
07May2021 1230,3.277,
07May2021 1300,3.279,
07May2021 1330,3.281,
07May2021 1400,3.282,
07May2021 1430,3.283,
07May2021 1500,3.283,
07May2021 1530,3.284,
07May2021 1600,3.286,
07May2021 1630,3.287,
07May2021 1700,3.289,
07May2021 1730,3.291,
07May2021 1800,3.293,
07May2021 1830,3.295,
07May2021 1900,3.297,
07May2021 1930,3.3,
07May2021 2000,3.302,
07May2021 2030,3.304,
07May2021 2100,3.306,
07May2021 2130,3.308,
07May2021 2200,3.311,
07May2021 2230,3.313,
07May2021 2300,3.315,
07May2021 2330,3.317,
07May2021 2400,3.319,
08May2021 0030,3.321,
08May2021 0100,3.324,
08May2021 0130,3.326,
08May2021 0200,3.328,
08May2021 0230,3.33,
08May2021 0300,3.332,
08May2021 0330,3.334,
08May2021 0400,3.336,
08May2021 0430,3.338,
08May2021 0500,3.34,
08May2021 0530,3.342,
08May2021 0600,3.344,
08May2021 0630,3.346,
08May2021 0700,3.348,
08May2021 0730,3.35,
08May2021 0800,3.352,
08May2021 0830,3.354,
08May2021 0900,3.356,
08May2021 0930,3.357,
08May2021 1000,3.357,
08May2021 1030,3.357,
08May2021 1100,3.358,
08May2021 1130,3.358,
08May2021 1200,3.358,
08May2021 1230,3.358,
08May2021 1300,3.359,
08May2021 1330,3.359,
08May2021 1400,3.359,
08May2021 1430,3.359,
08May2021 1500,3.359,
08May2021 1530,3.36,
08May2021 1600,3.36,
08May2021 1630,3.361,
08May2021 1700,3.362,
08May2021 1730,3.363,
08May2021 1800,3.365,
08May2021 1830,3.366,
08May2021 1900,3.367,
08May2021 1930,3.368,
08May2021 2000,3.37,
08May2021 2030,3.371,
08May2021 2100,3.372,
08May2021 2130,3.373,
08May2021 2200,3.375,
08May2021 2230,3.376,
08May2021 2300,3.377,
08May2021 2330,3.378,
08May2021 2400,3.379,
09May2021 0030,3.381,
09May2021 0100,3.382,
09May2021 0130,3.383,
09May2021 0200,3.384,
09May2021 0230,3.386,
09May2021 0300,3.387,
09May2021 0330,3.388,
09May2021 0400,3.389,
09May2021 0430,3.39,
09May2021 0500,3.391,
09May2021 0530,3.393,
09May2021 0600,3.394,
09May2021 0630,3.395,
09May2021 0700,3.396,
09May2021 0730,3.397,
09May2021 0800,3.398,
09May2021 0830,3.399,
09May2021 0900,3.401,
09May2021 0930,3.402,
09May2021 1000,3.403,
09May2021 1030,3.405,
09May2021 1100,3.406,
09May2021 1130,3.407,
09May2021 1200,3.409,
09May2021 1230,3.41,
09May2021 1300,3.411,
09May2021 1330,3.413,
09May2021 1400,3.414,
09May2021 1430,3.415,
09May2021 1500,3.417,
09May2021 1530,3.418,
09May2021 1600,3.419,
09May2021 1630,3.42,
09May2021 1700,3.42,
09May2021 1730,3.421,
09May2021 1800,3.421,
09May2021 1830,3.422,
09May2021 1900,3.422,
09May2021 1930,3.423,
09May2021 2000,3.423,
09May2021 2030,3.423,
09May2021 2100,3.424,
09May2021 2130,3.424,
09May2021 2200,3.424,
09May2021 2230,3.425,
09May2021 2300,3.425,
09May2021 2330,3.426,
09May2021 2400,3.426,
10May2021 0030,3.426,
10May2021 0100,3.427,
10May2021 0130,3.427,
10May2021 0200,3.428,
10May2021 0230,3.428,
10May2021 0300,3.428,
10May2021 0330,3.429,
10May2021 0400,3.429,
10May2021 0430,3.43,
10May2021 0500,3.43,
10May2021 0530,3.43,
10May2021 0600,3.431,
10May2021 0630,3.431,
10May2021 0700,3.431,
10May2021 0730,3.432,
10May2021 0800,3.432,
10May2021 0830,3.433,
10May2021 0900,3.433,
10May2021 0930,3.434,
10May2021 1000,3.434,
10May2021 1030,3.435,
10May2021 1100,3.436,
10May2021 1130,3.437,
10May2021 1200,3.437,
10May2021 1230,3.438,
10May2021 1300,3.439,
10May2021 1330,3.44,
10May2021 1400,3.44,
10May2021 1430,3.441,
10May2021 1500,3.442,
10May2021 1530,3.442,
10May2021 1600,3.443,
10May2021 1630,3.444,
10May2021 1700,3.445,
10May2021 1730,3.447,
10May2021 1800,3.448,
10May2021 1830,3.449,
10May2021 1900,3.45,
10May2021 1930,3.451,
10May2021 2000,3.452,
10May2021 2030,3.453,
10May2021 2100,3.455,
10May2021 2130,3.456,
10May2021 2200,3.457,
10May2021 2230,3.458,
10May2021 2300,3.459,
10May2021 2330,3.46,
10May2021 2400,3.461,
11May2021 0030,3.462,
11May2021 0100,3.464,
11May2021 0130,3.465,
11May2021 0200,3.466,
11May2021 0230,3.467,
11May2021 0300,3.468,
11May2021 0330,3.469,
11May2021 0400,3.47,
11May2021 0430,3.471,
11May2021 0500,3.472,
11May2021 0530,3.473,
11May2021 0600,3.474,
11May2021 0630,3.475,
11May2021 0700,3.476,
11May2021 0730,3.477,
11May2021 0800,3.478,
11May2021 0830,3.479,
11May2021 0900,3.48,
11May2021 0930,3.481,
11May2021 1000,3.482,
11May2021 1030,3.483,
11May2021 1100,3.483,
11May2021 1130,3.484,
11May2021 1200,3.485,
11May2021 1230,3.485,
11May2021 1300,3.486,
11May2021 1330,3.487,
11May2021 1400,3.488,
11May2021 1430,3.488,
11May2021 1500,3.489,
11May2021 1530,3.49,
11May2021 1600,3.49,
11May2021 1630,3.49,
11May2021 1700,3.489,
11May2021 1730,3.488,
11May2021 1800,3.487,
11May2021 1830,3.487,
11May2021 1900,3.486,
11May2021 1930,3.485,
11May2021 2000,3.484,
11May2021 2030,3.483,
11May2021 2100,3.482,
11May2021 2130,3.481,
11May2021 2200,3.48,
11May2021 2230,3.48,
11May2021 2300,3.479,
11May2021 2330,3.478,
11May2021 2400,3.477,
12May2021 0030,3.476,
12May2021 0100,3.475,
12May2021 0130,3.474,
12May2021 0200,3.473,
12May2021 0230,3.472,
12May2021 0300,3.471,
12May2021 0330,3.471,
12May2021 0400,3.47,
12May2021 0430,3.469,
12May2021 0500,3.468,
12May2021 0530,3.467,
12May2021 0600,3.466,
12May2021 0630,3.465,
12May2021 0700,3.464,
12May2021 0730,3.463,
12May2021 0800,3.462,
12May2021 0830,3.461,
12May2021 0900,3.46,
12May2021 0930,3.457,
12May2021 1000,3.454,
12May2021 1030,3.45,
12May2021 1100,3.447,
12May2021 1130,3.443,
12May2021 1200,3.44,
12May2021 1230,3.436,
